SIGNIN,Sign In
DASHBOARD,Dashboard
SHOPPING,Shopping
PARTNER_PROGRAM,Partner program
TRAINING_AND_ONBOARDING_RESOURCES,Training and onboarding resources
INVOICES,Invoices
SALES_ORDERS,Sales Orders
PRODUCT_INFORMATION,Product Information
MY_COMPANY,My Company
CREDIT_NOTES,Credit Notes
ABOUT_US,About Us
BALANCE_SHEET,Balance Sheet
MY_OPEN_ORDERS,MY OPEN ORDERS
COUNT,COUNT
AMOUNT,AMOUNT
MY_OPEN_INVOICES,MY OPEN INVOICES
TOP_MOST_PURCHASED_PRODUCTS,TOP 10 MOST PURCHASED PRODUCTS
ORDERS,Orders
ORDER_ID_SAP,Order ID (SAP)
ORDER_ID_ONLINE,Order ID (Online)
STATUS,Status
DATE,Date
ORDER_TOTAL,Order Total
PLEASE_ENTER_TO_DATE,Please Enter To Date
PLEASE_ENTER_FROM_DATE,Please Enter From Date
OPENED,Opened
CLOSED,Closed
CANCELLED,Cancelled
PARTIAL_PENDING,Partial Pending
PENDING,Pending
PAID,Paid
FROM_DATE,From Date
TO_DATE,To Date
SELECT_STATUS,Select Status
NUMBER,Number
ENTER_NUMBER,Enter Number
APPLY_FILTER,APPLY FILTER
CLEAR_FILTER,CLEAR FILTER
ORDER_DETAILS,Order details
ORDER_NO,Order No
ORDER_ITEMS,Order Items
SKU_V1,SKU
PRICE,Price
QTY_V1,Qty
TAX_V1,Tax
SUBTOTAL,Subtotal
TOTAL_BEFORE_TAX,Total Before Tax
TOTAL_TAX_AMOUNT,Total Tax Amount
GRAND_TOTAL,Grand Total
ORDER_INFORMATION,Order Information
DELIVERY_ADDRESS,Delivery Address
BILLING_ADDRESS,Billing Address
SHIPPING_METHOD,Shipping Method
PAYMENT_METHOD,Payment Method
DOWNLOAD_COMPLETE,Download complete
DOWNLOAD_FAILED,Download failed
INVOICE_DETAILS,Invoice details
BALANCE_DUE,Balance due
PAY_V1,Pay
INVOICE_ID,Invoice Id
CREDIT_NOTE_LIST,Credit Note List
CREDIT_NOTE_NO,Credit Note No
CREDIT_NOTE_ONLINE,Credit Note(Online)
SHOW_LESS,Show less
SHOW_MORE,Show more
